2026-01-07 01:30:09 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/030_育児・介護休暇休業規程.pdf
2026-01-07 01:30:10 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/040_確定拠出年金規定.pdf
2026-01-07 01:30:10 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/就業規則、その他規定変更履歴.pdf
2026-01-07 01:30:10 | INFO | rag_core.preprocessing.source.pdf | 5 本のPDFファイルから 46 件のドキュメントを読み込みました。
2026-01-07 01:30:10 | INFO | rag_core.preprocessing.source.pdf | load_documents を終了します
2026-01-07 01:30:10 | INFO | rag_core.preprocessing.normalize | normalize_documents を開始します
2026-01-07 01:30:10 | INFO | rag_core.preprocessing.normalize | filter_documents: 46 件のうち 42 件を有効と判断しました。
2026-01-07 01:30:10 | INFO | rag_core.preprocessing.normalize | normalize_documents を終了します
2026-01-07 01:30:10 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-01-07 01:30:13 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-01-07 01:30:15 | INFO | __main__ | Ingest が成功しました。
2026-01-07 01:32:28 | INFO | rag_core.preprocessing.source.pdf | load_documents を開始します
2026-01-07 01:32:28 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/010_就業規則.pdf
2026-01-07 01:32:30 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/020_賃金規程.pdf
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/030_育児・介護休暇休業規程.pdf
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/040_確定拠出年金規定.pdf
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/就業規則、その他規定変更履歴.pdf
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.source.pdf | 5 本のPDFファイルから 46 件のドキュメントを読み込みました。
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.source.pdf | load_documents を終了します
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.normalize | normalize_documents を開始します
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.normalize | filter_documents: 46 件のうち 42 件を有効と判断しました。
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.normalize | normalize_documents を終了します
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.embed | create_embedding を開始します
2026-01-07 01:32:31 | INFO | rag_core.preprocessing.embed | create_embedding を終了します
2026-01-07 01:32:31 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-01-07 01:32:34 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-01-07 01:32:35 | INFO | __main__ | Ingest が成功しました。
2026-01-07 01:34:36 | INFO | rag_core.preprocessing.source.pdf | load_documents を開始します
2026-01-07 01:34:36 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/010_就業規則.pdf
2026-01-07 01:34:37 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/020_賃金規程.pdf
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/030_育児・介護休暇休業規程.pdf
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/040_確定拠出年金規定.pdf
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.source.pdf | PDFファイルを読み込みます: /workspaces/aiagent_portfolio/docs/就業規則、その他規定変更履歴.pdf
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.source.pdf | 5 本のPDFファイルから 46 件のドキュメントを読み込みました。
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.source.pdf | load_documents を終了します
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.normalize | normalize_documents を開始します
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.normalize | filter_documents: 46 件のうち 42 件を有効と判断しました。
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.normalize | normalize_documents を終了します
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.chunk | chunk_documents を開始します
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.chunk | chunk_documents を終了します
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.embed | create_embedding を開始します
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.embed | create_embedding を終了します
2026-01-07 01:34:38 | INFO | rag_core.preprocessing.vector_backend | build_vectorstore を開始します
2026-01-07 01:34:38 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-01-07 01:34:41 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-01-07 01:34:42 | INFO | rag_core.preprocessing.vector_backend | build_vectorstore を終了します
2026-01-07 01:34:42 | INFO | __main__ | Ingest が成功しました。
